ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2019,2019-09-01,17,Estádio Governador Plácido Castelo,Felipe Fernandes,32643,60326,Fortaleza,Goiás EC,Zé Ricardo,Ney Franco,15,11,9450000,9500000,27.1,27,2,0,1,0,,,,,,,,,,,,,,
2019,2019-09-07,18,Estádio Governador Plácido Castelo,Wilton Sampaio,35474,60326,Fortaleza,Fluminense,Zé Ricardo,Oswaldo de Oliveira,12,18,9450000,35950000,27.7,27.6,0,1,0,0,,,,,,,,,,,,,,
2019,2019-09-22,20,Estádio Governador Plácido Castelo,Marcelo de Lima Henrique,35514,60326,Fortaleza,Palmeiras,Zé Ricardo,Mano Menezes,14,2,8750000,48000000,27.3,29.8,0,1,0,0,,,,,,,,,,,,,,
2019,2019-10-01,22,Estádio Governador Plácido Castelo,André Luiz de Freitas Castro,0,60326,Fortaleza,Botafogo,Rogério Ceni,Eduardo Barroca,15,11,10050000,18050000,29.6,26.2,1,0,0,0,,,,,,,,,,,,,,
2019,2019-10-17,26,Estádio Governador Plácido Castelo,Paulo Roberto Alves Júnior,50101,60326,Fortaleza,Flamengo,Rogério Ceni,Jorge Jesus,15,1,8850000,73650000,27.6,24.9,1,2,0,0,,,,,,,,,,,,,,
2019,2019-11-02,30,Estádio Governador Plácido Castelo,Rodolpho Toski Marques,31503,60326,Fortaleza,Atlético-MG,Rogério Ceni,Vágner Mancini,12,13,9050000,18150000,29.1,26.8,2,2,2,1,,,,,,,,,,,,,,
2019,2019-11-28,35,Estádio Governador Plácido Castelo,Diego Pombo Lopez,33925,60326,Fortaleza,Santos FC,Rogério Ceni,Jorge Sampaoli,12,2,8550000,33200000,29.2,27.7,2,1,0,0,,,,,,,,,,,,,,
2019,2019-07-29,12,Estádio Serra Dourada,Luiz Flávio de Oliveira,10439,50049,Goiás EC,Atlético-MG,Claudinei Oliveira,Rodrigo Santana,10,4,10050000,21450000,26.9,27.8,0,0,0,0,,,,,,,,,,,,,,
2019,2019-08-12,14,Estádio Serra Dourada,Jean Pierre Goncalves Lima,14529,50049,Goiás EC,Vasco da Gama,Ney Franco,Vanderlei Luxemburgo,12,15,9450000,12900000,27,26.2,0,1,0,1,,,,,,,,,,,,,,
2019,2019-08-25,16,Estádio Serra Dourada,Marielson Alves Silva,8634,50049,Goiás EC,Internacional,Ney Franco,Odair Hellmann,12,7,10000000,20600000,27.2,26.9,2,1,0,1,,,,,,,,,,,,,,
2019,2019-09-08,18,Estádio Serra Dourada,Wagner Reway,17115,50049,Goiás EC,Palmeiras,Ney Franco,Mano Menezes,13,3,10400000,62250000,27.6,29.6,1,2,1,0,,,,,,,,,,,,,,
2019,2019-09-23,20,Estádio Serra Dourada,Rafael Traci,6806,50049,Goiás EC,Fluminense,Ney Franco,Oswaldo de Oliveira,15,16,10700000,34450000,27,26.8,3,0,1,0,,,,,,,,,,,,,,
2019,2019-10-12,25,Estádio Serra Dourada,Felipe Fernandes,7420,50049,Goiás EC,CSA,Ney Franco,Argel Fucks,10,16,8300000,7200000,27.3,30,1,0,0,0,,,,,,,,,,,,,,
2019,2019-11-01,29,Estádio Serra Dourada,Ricardo Marques Ribeiro,38345,50049,Goiás EC,Flamengo,Ney Franco,Jorge Jesus,10,1,10050000,65900000,27.5,27.5,2,2,0,0,,,,,,,,,,,,,,
2019,2019-11-03,30,Estádio Serra Dourada,Vinicius Gonçalves Dias Araujo,10006,50049,Goiás EC,Avaí FC,Ney Franco,Evando,10,20,9400000,5650000,26.5,28.3,2,0,0,0,,,,,,,,,,,,,,
2019,2019-11-24,34,Estádio Serra Dourada,Ricardo Marques Ribeiro,10259,50049,Goiás EC,EC Bahia,Ney Franco,Roger Machado,10,9,8950000,16050000,27.5,27,4,3,2,0,,,,,,,,,,,,,,
2019,2019-12-01,36,Estádio Serra Dourada,Dewson Fernando Freitas da Silva,27781,50049,Goiás EC,Fortaleza,Ney Franco,Rogério Ceni,9,10,9650000,8150000,28,28.8,1,2,1,2,,,,,,,,,,,,,,
2019,2019-07-27,12,Allianz Parque,Ricardo Marques Ribeiro,37754,43600,Palmeiras,Vasco da Gama,Luiz Felipe Scolari,Vanderlei Luxemburgo,1,15,40700000,17550000,28.7,28,1,1,0,0,,,,,,,,,,,,,,
2019,2019-08-11,14,Allianz Parque,Igor Junior Benevenuto,34275,43600,Palmeiras,EC Bahia,Luiz Felipe Scolari,Roger Machado,2,10,54750000,13700000,29.2,28.9,2,2,1,0,,,,,,,,,,,,,,
2019,2019-09-11,16,Allianz Parque,Anderson Daronco,27956,43600,Palmeiras,Fluminense,Mano Menezes,Oswaldo de Oliveira,3,18,52000000,35950000,30.8,27.6,3,0,1,0,,,,,,,,,,,,,,
2019,2019-09-15,19,Allianz Parque,Rodolpho Toski Marques,35578,43600,Palmeiras,Cruzeiro,Mano Menezes,Rogério Ceni,3,16,58000000,16250000,29.9,27.8,1,0,1,0,,,,,,,,,,,,,,
